IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
172.31.160.1,0.315ms,0.247ms,0.140ms,www.amazon.com,24-Nov,1,1,NA,NA
172.20.10.1,2.892ms,2.689ms,2.563ms,www.amazon.com,24-Nov,2,1,NA,NA
107.243.2.7,32.372ms,*,67.538ms,www.amazon.com,24-Nov,3,1,NA,NA
32.141.57.134,91.773ms,45.626ms,53.707ms,www.amazon.com,24-Nov,9,1,7018,"ATT-INTERNET4, US"
172.31.160.1,0.880ms,0.258ms,0.184ms,www.amazon.com,24-Nov,1,2,NA,NA
172.20.10.1,2.019ms,2.013ms,1.706ms,www.amazon.com,24-Nov,2,2,NA,NA
107.243.2.7,29.269ms,*,66.323ms,www.amazon.com,24-Nov,3,2,NA,NA
172.31.160.1,0.276ms,0.162ms,0.099ms,www.amazon.com,24-Nov,1,3,NA,NA
172.20.10.1,4.251ms,2.399ms,3.565ms,www.amazon.com,24-Nov,2,3,NA,NA
107.243.2.7,291.712ms,*,60.935ms,www.amazon.com,24-Nov,3,3,NA,NA
32.141.57.134,60.762ms,51.233ms,48.077ms,www.amazon.com,24-Nov,9,3,7018,"ATT-INTERNET4, US"
172.31.160.1,0.849ms,0.387ms,0.362ms,www.amazon.com,24-Nov,1,4,NA,NA
172.20.10.1,2.787ms,2.678ms,2.128ms,www.amazon.com,24-Nov,2,4,NA,NA
107.243.2.135,39.179ms,*,101.129ms,www.amazon.com,24-Nov,3,4,,
32.141.57.134,95.012ms,38.943ms,46.875ms,www.amazon.com,24-Nov,9,4,7018,"ATT-INTERNET4, US"
172.31.160.1,0.427ms,0.290ms,0.253ms,www.amazon.com,24-Nov,1,5,NA,NA
172.20.10.1,3.070ms,2.424ms,3.567ms,www.amazon.com,24-Nov,2,5,NA,NA
107.243.2.135,28.276ms,*,56.279ms,www.amazon.com,24-Nov,3,5,NA,NA
32.141.57.134,165.150ms,56.290ms,52.237ms,www.amazon.com,24-Nov,9,5,7018,"ATT-INTERNET4, US"
172.31.160.1,0.446ms,0.151ms,0.135ms,www.amazon.com,24-Nov,1,6,NA,NA
172.20.10.1,2.419ms,2.787ms,2.408ms,www.amazon.com,24-Nov,2,6,NA,NA
107.243.2.7,50.294ms,*,61.802ms,www.amazon.com,24-Nov,3,6,NA,NA
172.31.160.1,0.415ms,0.273ms,0.345ms,www.google.com,24-Nov,1,1,NA,NA
172.20.10.1,4.004ms,3.488ms,3.238ms,www.google.com,24-Nov,2,1,NA,NA
107.243.2.7,64.103ms,*,49.839ms,www.google.com,24-Nov,3,1,NA,NA
12.255.10.34,93.224ms,45.823ms,48.397ms,www.google.com,24-Nov,10,1,7018,"ATT-INTERNET4, US"
142.250.190.100,97.847ms,54.961ms,45.285ms,www.google.com,24-Nov,12,1,15169,"GOOGLE, US"
172.31.160.1,0.167ms,0.117ms,0.103ms,www.google.com,24-Nov,1,2,NA,NA
172.20.10.1,4.226ms,2.497ms,2.614ms,www.google.com,24-Nov,2,2,NA,NA
107.243.2.7,63.507ms,*,66.948ms,www.google.com,24-Nov,3,2,NA,NA
12.255.10.42,81.704ms,43.035ms,50.727ms,www.google.com,24-Nov,10,2,7018,"ATT-INTERNET4, US"
142.250.190.100,92.505ms,43.106ms,43.554ms,www.google.com,24-Nov,12,2,15169,"GOOGLE, US"
172.31.160.1,0.163ms,0.118ms,0.100ms,www.google.com,24-Nov,1,3,NA,NA
172.20.10.1,4.677ms,3.536ms,2.556ms,www.google.com,24-Nov,2,3,NA,NA
107.243.2.7,57.000ms,*,54.366ms,www.google.com,24-Nov,3,3,NA,NA
12.255.10.36,87.329ms,43.777ms,48.917ms,www.google.com,24-Nov,10,3,7018,"ATT-INTERNET4, US"
142.250.190.100,78.357ms,57.607ms,44.223ms,www.google.com,24-Nov,15,3,15169,"GOOGLE, US"
172.31.160.1,0.168ms,0.140ms,0.119ms,www.google.com,24-Nov,1,4,NA,NA
172.20.10.1,5.482ms,4.375ms,6.635ms,www.google.com,24-Nov,2,4,NA,NA
107.243.2.135,79.965ms,*,69.783ms,www.google.com,24-Nov,3,4,NA,NA
12.255.10.36,80.784ms,49.543ms,51.803ms,www.google.com,24-Nov,10,4,7018,"ATT-INTERNET4, US"
142.251.60.210,89.430ms,*,47.059ms,www.google.com,24-Nov,12,4,15169,"GOOGLE, US"
142.250.190.100,52.925ms,46.088ms,41.210ms,www.google.com,24-Nov,14,4,15169,"GOOGLE, US"
172.31.160.1,0.303ms,0.229ms,0.135ms,www.google.com,24-Nov,1,5,NA,NA
172.20.10.1,5.391ms,7.923ms,3.150ms,www.google.com,24-Nov,2,5,NA,NA
107.243.2.135,64.845ms,*,66.868ms,www.google.com,24-Nov,3,5,NA,NA
12.255.10.34,69.369ms,41.742ms,54.620ms,www.google.com,24-Nov,10,5,7018,"ATT-INTERNET4, US"
142.251.60.10,78.339ms,40.546ms,39.885ms,www.google.com,24-Nov,12,5,15169,"GOOGLE, US"
142.251.60.207,48.573ms,42.343ms,44.649ms,www.google.com,24-Nov,13,5,15169,"GOOGLE, US"
142.251.234.69,44.440ms,48.821ms,48.645ms,www.google.com,24-Nov,14,5,15169,"GOOGLE, US"
142.251.60.205,47.919ms,52.686ms,53.344ms,www.google.com,24-Nov,17,5,15169,"GOOGLE, US"
142.250.190.100,50.275ms,52.732ms,40.463ms,www.google.com,24-Nov,18,5,15169,"GOOGLE, US"
172.31.160.1,0.497ms,0.284ms,0.252ms,www.google.com,24-Nov,1,6,NA,NA
172.20.10.1,2.254ms,2.308ms,3.280ms,www.google.com,24-Nov,2,6,NA,NA
107.243.2.7,36.902ms,*,67.446ms,www.google.com,24-Nov,3,6,NA,NA
12.255.10.34,62.394ms,73.934ms,61.194ms,www.google.com,24-Nov,10,6,7018,"ATT-INTERNET4, US"
